school,test_optional_or_no,applies_to_class_year_s,policy_details,number_of_applicants,accept_rate,sat_tot_25th_percentile,sat_tot_75th_percentile,act_composite_25th_percentile,act_composite_75th_percentile,sat_equiv_of_act_25th,sat_equiv_of_act_75th,sat_minus_sat_equiv_25th_perc,sat_minus_sat_equiv_75th_perc
Santa Clara University,Yes,2021 2022,Santa Clara University has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Santa Clara will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,16300,0.488,1280,1440,28,32,1310,1430,-30,10
Southwestern University,Yes,All / Permanent Policy,Southwestern University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,4766,0.49,1140,1320,23,29,1140,1340,0,-20
Pennsylvania State University—​University Park,Yes,2021,Pennsylvania State University--College Park has adopted a one-year test optional policy for students entering in the Summer and Fall of 2021.,71903,0.491,1160,1370,25,30,1210,1370,-50,0
Marist College,Yes,All / Permanent Policy,Marist College offers a test optional policy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students applying to some programs are not eligible for test optional admission.,11260,0.49200000000000005,1210,1360,26,31,1240,1400,-30,-40
The College of New Jersey,Yes,2021 2022 2023,The College of New Jersey has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,13824,0.493,1160,1360,25,30,1210,1370,-50,-10
Worcester Polytechnic Institute,Yes,All / Permanent Policy,Worcester Polytechnic Institute offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10645,0.494,1310,1470,29,33,1340,1460,-30,10
Syracuse University,Yes,2021,Syracuse has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,34981,0.499,1180,1370,25,30,1210,1370,-30,0
University of La Verne,Yes,All / Permanent Policy,University of La Verne offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores.,7276,0.509,1020,1205,20,26,1040,1240,-20,-35
Clemson University,Yes,2021,Clemson has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,29070,0.513,1230,1400,27,32,1280,1430,-50,-30
Austin College,Yes,All / Permanent Policy,Austin College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,4360,0.513,1110,1290,24,29,1180,1340,-70,-50
University of California—​Santa Cruz,Yes (TB),2021 2022 2023 2024,UCSC has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,55906,0.515,1200,1360,24,30,1180,1370,20,-10
University of Washington--Seattle,Yes,All / Permanent Policy,The University of Washington--Seattle offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,45579,0.518,1240,1440,27,33,1280,1460,-40,-20
California State University--Fullerton,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,50105,0.527,1030,1200,19,24,1010,1180,20,20
University of Wisconsin—​Madison,Yes,2021 2022,The University of Wisiconsin--Madison has adopted temporary test optional policy for students applying through Summer 2023.,43921,0.53,1330,1450,27,32,1280,1430,50,20
Colorado School of Mines,Yes,2021,Colorado School of Mines has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,11756,0.531,1260,1460,27,33,1280,1460,-20,0
Chapman University,Yes,All / Permanent Policy,Chapman offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.,14198,0.536,1190,1370,25,30,1210,1370,-20,0
Ohio State University—​Columbus,Yes,2021,OSU has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However home-schooled students and students who attend a non-chartered high school are not eligible for test optional admission.,47703,0.537,1250,1460,28,32,1310,1430,-60,30
Texas Lutheran University,Yes,2021,Texas Lutheran University has adopted a one-year test optional policy for domestic first-year applicants in the 2020-21 admission cycle.,2198,0.5429999999999999,990,1160,19,25,1010,1210,-20,-50
University at Albany—​SUNY,Yes,2021,The University at Albany-SUNY has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,27529,0.5429999999999999,1090,1250,22,28,1110,1310,-20,-60
Georgia Southern,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13858,0.545,1050,1200,20,25,1040,1210,10,-10
College of Wooster,Yes,All / Permanent Policy,The College of Wooster offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,6352,0.547,1150,1380,24,31,1180,1400,-30,-20
San Jose State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36243,0.547,1040,1260,19,26,1010,1240,30,20
California State Polytechnic University--Pomona,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36660,0.555,1030,1250,19,27,1010,1280,20,-30
Whitman College,Yes,All / Permanent Policy,Whitman College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are strongly encouraged to submit SAT or ACT scores.,4832,0.5579999999999999,1240,1450,28,33,1310,1460,-70,-10
Sarah Lawrence College,Yes,All / Permanent Policy,Sarah Lawrence College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3325,0.5579999999999999,1240,1420,27,32,1280,1430,-40,-10
New School,Yes,All / Permanent Policy,The New School offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,9911,0.5660000000000001,1150,1360,24,30,1180,1370,-30,-10
University of Pittsburgh,Yes,2021,University of Pittsburgh has adopted a one-year test optional policy for Fall 2021 applicants to the Dietrich School however students applying to the Business Computing & Information Engineering and Nursing schools are still required to submit scores.,32091,0.5670000000000001,1260,1440,28,33,1310,1460,-50,-20
University of California Riverside,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,49788,0.5670000000000001,1130,1340,24,30,1180,1370,-50,-30
University of Minnesota—​Twin Cities,Yes,2021,University of Minnesota-Twin Cities has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,40673,0.5670000000000001,1260,1480,26,31,1240,1400,20,80
Hobart and William Smith Colleges,Yes,All / Permanent Policy,Hobart and William Smith Colleges offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,4526,0.569,1203,1360,27,30,1280,1370,-77,-10
Abilene Christian University,Yes,2021,Abilene Christian University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,11569,0.57,1040,1230,21,27,1080,1280,-40,-50
Bennington College,Yes,All / Permanent Policy,Bennington has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,1494,0.57,1230,1390,28,32,1310,1430,-80,-40
Birmingham-​Southern College,Yes,All / Permanent Policy,Birmingham-Southern College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However applicants who select test optional admission are required to have an interview with an admissions counselor.,3628,0.57,1040,1250,22,28,1110,1310,-70,-60
Fairfield University,Yes,All / Permanent Policy,Fairfield University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12315,0.5710000000000001,1210,1350,26,30,1240,1370,-30,-20
Georgia State,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,19838,0.574,990,1190,21,26,1080,1240,-90,-50
Texas A&M University—​College Station,Yes,2021,Texas A&M University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42899,0.575,1160,1390,26,31,1240,1400,-80,-10
Saint Louis University,Yes,2021,Saint Louis University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,15120,0.575,1180,1370,25,31,1210,1400,-30,-30
St. John's College Annapolis,Yes,All / Permanent Policy,St. John's College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students and students who will not earn high school diplomas are not eligible for test optional admission. Most international students are not eligible for test optional admission.,913,0.5760000000000001,1210,1450,24,33,1180,1460,30,-10
Lake Forest College,Yes,All / Permanent Policy,Lake Forest College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants must complete an interview. Homeschooled students are not eligible for test optional admission.,4147,0.579,1110,1310,23,29,1140,1340,-30,-30
Kennesaw State University,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13427,0.579,1080,1270,21,26,1080,1240,0,30
California State University--Fresno,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,18122,0.579,950,1130,16,22,890,1110,60,20
Rollins College,Yes,All / Permanent Policy,"Rollins offers a test optional policy (""test scores waived option"") which allows students to be considered for admission without SAT or ACT scores. However applicants to the 3/2 Accelerated Management Program or the Honors Degree Program must submit test scores.",6167,0.583,1160,1340,24,30,1180,1370,-20,-30
University of Hawaii at Manoa,Yes,2021,University of Hawaii has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,16244,0.584,1070,1270,21,26,1080,1240,-10,30
University of Denver,Yes,All / Permanent Policy,University of Denver offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,21028,0.5870000000000001,1170,1350,26,31,1240,1400,-70,-50
Hampden-​Sydney College,Yes,2021,Hampden-Sydney College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,3240,0.59,1050,1250,21,27,1080,1280,-30,-30
University of Illinois—​Urbana-​Champaign,Yes,2021,University of Illinois--Urbana-Champaign has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,43509,0.59,1220,1480,27,33,1280,1460,-60,20
Millsaps College,Yes,2021,Millsaps College has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,4161,0.593,1080,1260,22,28,1110,1310,-30,-50
California State University--Northridge,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,30637,0.593,910,1130,16,22,890,1110,20,20
Clark University,Yes,All / Permanent Policy,Clark University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,7687,0.594,1200,1390,28,31,1310,1400,-110,-10
Lipscomb University,Yes,2021,Lipscomb University has adopted a one-year test optional policy for first-year applicants entering in Spring and Fall 2021.,3638,0.595,1060,1320,22,29,1110,1340,-50,-20
Virginia Military Institute,Yes,2021,The Virginia Military Institute has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1515,0.595,1090,1270,21,28,1080,1310,10,-40
Purdue University—​West Lafayette,Yes (TF),2021,Purdue University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. This policy applies to the Spring Summer and Fall 2021 terms.,54912,0.598,1190,1440,25,32,1210,1430,-20,10
Temple University,Yes,All / Permanent Policy,Temple University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However home-schooled applicants recruited student athletes and international applicants are not eligible for test optional admission.,35599,0.6,1120,1320,24,30,1180,1370,-60,-50
Rutgers The State University of New Jersey—​New Brunswick,Yes,2021,Rutgers has adopted a one-year test optional policy for in the 2020-21 admission cycle.,41348,0.601,1190,1410,25,31,1210,1400,-20,10
Illinois Institute of Technology,Yes,2021,Illinois Institute of Technology has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,5049,0.602,1190,1400,26,32,1240,1430,-50,-30
Yeshiva University,Yes,2021,Yeshiva has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,1508,0.603,1140,1400,22,30,1110,1370,30,30
Illinois Wesleyan University,Yes,2021,Illinois Wesleyan has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Test optional applicants must have an interview with their admissions counselor and submit an essay.,3719,0.608,1120,1320,24,29,1180,1340,-60,-20
Furman University,Yes,All / Permanent Policy,Furman University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5469,0.611,1230,1410,28,32,1310,1430,-80,-20
University at Buffalo—​SUNY,Yes,2021,University at Buffalo-SUNY has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,29900,0.611,1160,1340,24,29,1180,1340,-20,0
Concordia College—​Moorhead,Yes,All / Permanent Policy,Concordia College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,4160,0.612,1080,1368,21,27,1080,1280,0,88
SUNY College of Environmental Science and Forestry,Yes,2021,SUNY College of Environmental Science and Forestry has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,2018,0.614,1120,1310,23,29,1140,1340,-20,-30
University of Portland,Yes,2021,University of Portland has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,14505,0.615,1160,1330,23,29,1140,1340,20,-10
Cornell College,Yes,All / Permanent Policy,Cornell College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Students who apply test optional are expected to respond to two additional written prompts on their applications and to submit portfolios.,3118,0.618,1100,1345,23,29,1140,1340,-40,5
Muhlenberg College,Yes,All / Permanent Policy,Muhlenberg College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,4146,0.618,1170,1360,26,30,1240,1370,-70,-10
Gonzaga University,Yes,2021,Gonzaga University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9279,0.619,1210,1358,25,30,1210,1370,0,-12
Beloit College,Yes,All / Permanent Policy,Beloit offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3657,0.62,1080,1380,24,30,1180,1370,-100,10
Lawrence University,Yes,All / Permanent Policy,Lawrence University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3463,0.621,1200,1430,25,32,1210,1430,-10,0
University of Utah,Yes,2021 2022 2023,The University of Utah has adopted a test optional policy for students applying through Fall 2023. However students who have GEDs who attend a non-accredited high school or who are applying for direct admission into select programs are not eligible for TO. Test scores are also required for merit scholarships.,24404,0.621,1142,1380,22,29,1110,1340,32,40
Allegheny College,Yes,All / Permanent Policy,Allegheny College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,5208,0.622,1170,1360,24,30,1180,1370,-10,-10
University of Delaware,Yes,2021,University of Delaware has adopted a one-year test optional policy for all students applying to the Spring and Fall 2021 terms.,27691,0.624,1170,1350,25,30,1210,1370,-40,-20
Westmont College,Yes,2021,Westmont College has adopted a one-year test optional policy for student applying to the Spring and Fall 2021 semesters.,2937,0.624,1110,1370,23,30,1140,1370,-30,0
Luther College,Yes,2021,Luther College has adopted a one-year test optional policy for Fall 2021 applicants.,4422,0.626,1050,1310,23,29,1140,1340,-90,-30
Rutgers The State University of New Jersey—​Newark,Yes,2021,Rutgers has adopted a one-year test optional policy for in the 2020-21 admission cycle.,13259,0.627,1020,1190,19,24,1010,1180,10,10
Earlham College,Yes,All / Permanent Policy,Earlham offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,2070,0.634,1100,1370,23,30,1140,1370,-40,0
Augustana College,Yes,All / Permanent Policy,Augustana College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants may be asked to complete an interview. However homeschooled applicants and international applicants are not eligible for test optional admission.,6211,0.636,1070,1280,22,29,1110,1340,-40,-60
Wofford College,Yes,All / Permanent Policy,Wofford College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However international students are not eligible for test optional admission.,3522,0.636,1180,1350,27,30,1280,1370,-100,-20
New Jersey Institute of Technology,Yes,2021,The New Jersey Institute of Technology has adopted a one-year test optional policy for applicants applying in the 2020-21 admissions cycle.,8123,0.637,1190,1380,25,30,1210,1370,-20,10
University of Massachusetts—​Amherst,Yes,2021 2022 2023,UMass Amherst has adopted a three-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after the three-year period.,42157,0.638,1190,1390,26,32,1240,1430,-50,-40
Wabash College,Yes,2021,Wabash has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1307,0.642,1120,1320,23,29,1140,1340,-20,-20
DePauw University,Yes,All / Permanent Policy,DePauw University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who wish to apply for an Honor Scholar or Fellows program are not eligible for test optional admission.,4935,0.644,1130,1360,23,30,1140,1370,-10,-10
Drury University,Yes,All / Permanent Policy,Drury University offers a test optional policy which allows domestic students to be considered for admission without SAT or ACT scores.,1664,0.644,1045,1225,22,28,1110,1310,-65,-85
St. John Fisher College,Yes,2021 2022,St. John Fisher College has adopted a two-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after two years.,4720,0.645,1070,1260,21,26,1080,1240,-10,20
University of San Francisco,Yes,All / Permanent Policy,University of San Francisco offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,18411,0.6459999999999999,1130,1330,23,29,1140,1340,-10,-10
Bard College,Yes,All / Permanent Policy,Bard College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5141,0.6459999999999999,1248,1420,27,31,1280,1400,-32,20
Goshen College,Yes,2021,Goshen has adopted a one-year test optional policy for students applying to enroll in Fall 2021.,1278,0.647,1010,1210,21,29,1080,1340,-70,-130
Agnes Scott College,Yes,All / Permanent Policy,Agnes Scott College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,1751,0.648,1130,1340,24,30,1180,1370,-50,-30
Virginia Polytechnic Institute and State University,Yes,2021,Virginia Polytechnic Institute and State University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,31936,0.648,1180,1390,25,31,1210,1400,-30,-10
University of Houston,Yes,2021,University of Houston has adopted a one-year test optional policy for all first-year applicants applying in the 2020-21 admission cycle. Applicants electing TO must submit 2 letters of support a personal statement and a resumé.,25393,0.65,1140,1310,22,27,1110,1280,30,30
University of North Carolina—​Charlotte,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,21867,0.65,1120,1290,22,26,1110,1240,10,50
Truman State University,Yes (TF),2021,Truman State University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. Students applying without test scores must submit an essay and may be asked to provide additional information. Test scores are required to be eligible for some scholarships or programs.,4568,0.653,1080,1358,24,30,1180,1370,-100,-12
University of North Carolina—​Wilmington,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,13287,0.655,1170,1320,22,27,1110,1280,60,40
SUNY—​Geneseo,Yes,2021,SUNY-Geneseo has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,10433,0.655,1120,1310,23,28,1140,1310,-20,0
Embry-​Riddle Aeronautical University,Yes,All / Permanent Policy,Embry-Riddle Aeronautical University offers a test optional policy which allows most students to be considered for admission without SAT or ACT scores. Homeschooled students must provide SAT or ACT scores and show academic strength through SAT Subject Tests and/or AP Exams.,6017,0.655,1110,1320,22,29,1110,1340,0,-20
University of the Pacific,Yes,All / Permanent Policy,University of the Pacific offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13096,0.6559999999999999,1130,1360,23,31,1140,1400,-10,-40
Rochester Institute of Technology,Yes,All / Permanent Policy,Rochester Institute of Technology offers a test optional policy which allows students applying to most programs to be considered for admission without SAT or ACT scores. Students applying to imaging science motion picture science and photographic sciences within the College of Art & Design must still provide test scores,18948,0.66,1200,1400,27,32,1280,1430,-80,-30
Berry College,Yes,All / Permanent Policy,Berry College offers a test optional policy which allows students to apply without standardized test scores.,3970,0.6609999999999999,1110,1310,23,29,1140,1340,-30,-30
Mississippi State University,Yes,2021,Mississippi State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18269,0.6629999999999999,1070,1280,22,30,1110,1370,-40,-90
Sewanee—​University of the South,Yes,All / Permanent Policy,Sewanee--The University of the South offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3545,0.667,1150,1340,25,30,1210,1370,-60,-30
Hanover College,Yes,All / Permanent Policy,Hanover College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,7795,0.669,1078,1300,22,28,1110,1310,-32,-10
Coe College,Yes*,All / Permanent Policy,Coe College requires either the SAT or ACT however it will waive this requirement if you have a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,7795,0.669,1078,1300,22,28,1110,1310,-32,-10
Randolph-​Macon College,Yes,2021,Randolph-Macon College has adopted a one-year test optional policy for students applying to the Fall 2021 semester. However students applying to direct entry Bachelor of Science in Nursing program must submit scores.,2907,0.6709999999999999,1020,1240,20,27,1040,1280,-20,-40
Loyola University Chicago,Yes,All / Permanent Policy,Loyola University Chicago offers a test optional policy which allows students to be considered for admission without standardized test scores. However students applying for admission to the Bachelor of Nursing and Engineering Science programs will still be required to submit a self-reported test score as part of the requirement for review.,25583,0.672,1140,1320,25,30,1210,1370,-70,-50
University of Vermont,Yes,2021,University of Vermont has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19233,0.6729999999999999,1180,1360,26,31,1240,1400,-60,-40
San Francisco State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,34629,0.6729999999999999,940,1150,17,23,930,1140,10,10
Brigham Young University—​Provo,Yes,2021,BYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,10500,0.675,1210,1420,26,31,1240,1400,-30,20
Drake University,Yes,All / Permanent Policy,"Drake University offers a test optional policy which it refers to as a ""test-flexible"" plan which allows students to either write an essay or sit for an interview in lieu of submitting test scores. However homeschooled students as well as applicants to certain programs are not eligible for test optional admission.",6944,0.6759999999999999,1100,1370,24,31,1180,1400,-80,-30
Stonehill College,Yes,All / Permanent Policy,Stonehill College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,6961,0.677,1120,1290,24,28,1180,1310,-60,-20
Elmhurst College,Yes,2021,Elmhurst has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Students who choose to apply TO will be required to submit an essay.,4175,0.6779999999999999,990,1210,20,26,1040,1240,-50,-30
Taylor University,Yes,All / Permanent Policy,Taylor University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Students who choose not to submit scores may be asked to provide more information or complete proficiency exams.,2341,0.6809999999999999,1080,1310,22,28,1110,1310,-30,0
Knox College,Yes,All / Permanent Policy,Knox College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3397,0.6829999999999999,1090,1350,24,31,1180,1400,-90,-50
Hofstra University,Yes,All / Permanent Policy,Hofstra Univeristy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,24425,0.685,1160,1340,25,30,1210,1370,-50,-30
Ithaca College,Yes,All / Permanent Policy,Ithaca College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,15278,0.685,1160,1338,25,30,1210,1370,-50,-32
California State University--San Bernardino,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,16307,0.6859999999999999,910,1090,15,19,850,1010,60,80
University of South Carolina,Yes,2021,The University of South Carolina has adopted a one-year test optional policy for students applying for 2021 admission.,31268,0.6859999999999999,1180,1370,25,31,1210,1400,-30,-30
Albion College,Yes,2021,Albion College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4043,0.688,990,1200,21,27,1080,1280,-90,-80
Presbyterian College (SC),Yes,All / Permanent Policy,Presbyterian College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2462,0.688,1010,1210,19,25,1010,1210,0,0
Texas Tech University,Yes,2021,Texas Tech University has adopted a one-year test optional policy for both domestic and international first-year applicants ientering in the Fall of 2021. It is highly encouraged to submit an SAT/ACT score if an applicant is able to do so in order to qualify for scholarships. It does not require the SAT Essay or ACT Writing Test.,25384,0.6890000000000001,1070,1260,22,27,1110,1280,-40,-20
Ohio Wesleyan University,Yes,All / Permanent Policy,Ohio Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4705,0.69,1060,1295,22,28,1110,1310,-50,-15
Ripon College,Yes,All / Permanent Policy,Ripon College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2619,0.69,1000,1210,20,27,1040,1280,-40,-70
Drew University,Yes,All / Permanent Policy,Drew University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3788,0.6920000000000001,1110,1310,25,30,1210,1370,-100,-60
Central Michigan,Yes,2021,Central Michigan University has adopted a one-year test optional policy for students entering in 2021. However homeschooled students or students whose high schools do not provide grades are not eligible for TO admission.,16411,0.695,990,1200,20,26,1040,1240,-50,-40
Oklahoma State University,Yes,2021,Oklahoma State University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Students applying without test scores must submit essays and other supplemental documents. Test scores are required for most university scholarships.,15277,0.7,1040,1265,21,28,1080,1310,-40,-45
Bradley University,Yes,All / Permanent Policy,Bradley University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10708,0.7020000000000001,1070,1270,22,28,1110,1310,-40,-40
Seton Hall University,Yes,2021,Seton Hall University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19260,0.7040000000000001,1150,1310,24,28,1180,1310,-30,0
Biola University,Yes,2021,Biola University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,4149,0.705,1080,1310,21,28,1080,1310,0,0
Ursinus College,Yes,All / Permanent Policy,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and applicants with narrative-style transcripts are not eligible for test optional admission.,3361,0.7090000000000001,1140,1320,23,28,1140,1310,0,10
Clarkson University,Yes,2021,Clarkson University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6885,0.711,1160,1350,24,30,1180,1370,-20,-20
Michigan State University,Yes,2021,Michigan State has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. However homeschooled students are not eligible for test optional admission.,44322,0.711,1100,1320,23,29,1140,1340,-40,-20
Hollins University,Yes,2021,Hollins University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,3244,0.7120000000000001,1070,1300,22,30,1110,1370,-40,-70
Creighton University,Yes,All / Permanent Policy,Creighton offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the nursing program and homeschooled students are not eligible for test optional admission.,10112,0.7140000000000001,1150,1350,24,30,1180,1370,-30,-20
California Lutheran University,Yes,All / Permanent Policy,California Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission and test scores are required to qualify for some merit scholarships.,5752,0.715,1070,1250,21,26,1080,1240,-10,10
University of Mary Washington,Yes,All / Permanent Policy,The University of Mary Washington offers a test optional policy which allows students to petition to be considered for admission without SAT or ACT scores. However students applying for the Pre-Nursing Program or merit based scholarships and homeschooled students are not eligible for test choice.,5909,0.718,1050,1269,22,29,1110,1340,-60,-71
Christopher Newport University,Yes*,All / Permanent Policy,Christopher Newport University requires either the SAT or ACT however they will waive this requirement for students with a 3.5+ GPA or who rank in the top 10% of their class. For students applying in the 2020-21 admission cycle there is no minimum GPA for test optional admission.,7204,0.7190000000000001,1110,1280,22,27,1110,1280,0,0
